STT,Mô hình,Câu hỏi,Câu trả lời đúng,Dự đoán,F1,Loại lỗi,Nguyên nhân,Hướng cải thiện
11,B1: BM25-Only (Rule-based),Con gái của Hồ Việt Trung,Xí Muội,Hồ Việt Trung lần đầu thừa nhận mình đã có con gái .,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
12,B1: BM25-Only (Rule-based),Ai là chủ tịch tập đoàn Hòa Phát,Trần Đình Long,Chủ tịch Tập đoàn Hoà Phát Trần Đình Long ' hạ thế ' là tin đồn nhảm !,0.3333,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
13,B1: BM25-Only (Rule-based),Vị vua nào sau đây đã đổi quốc hiệu nước ta thành Đại Nam?,Minh Mạng,"Năm 1820 , vua Minh Mạng lên ngôi xin nhà Thanh cho phép đổi quốc hiệu Việt Nam thành Đại Nam ( 大南 ) , ngụ ý một nước Nam rộng lớn .",0.1333,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
14,B1: BM25-Only (Rule-based),Ai là chủ tịch tập đoàn SCG,Roongrote Rangsiyopash,"Chủ tịch Tập đoàn SCG , ông Roongrote Rangsiyopash trân trọng cảm ơn Thủ tướng Nguyễn Xuân Phúc dành thời gian tiếp và cho biết về tiến độ dự án Tổ hợp hoá dầu miền Nam do Tập đoàn triển khai .",0.0952,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
15,B1: BM25-Only (Rule-based),Người giàu nhất thế giới năm 2012?,Carlos Slim,"Tuy nhiên , người giàu nhất thế giới vẫn là "" ông trùm "" viễn thông Mexico , người chủ quản tập đoàn America Movil SAB Carlos Slim .",0.1538,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
16,B1: BM25-Only (Rule-based),Ai được mệnh danh là Messi của Việt Nam,Công Phượng,"Nhìn Công Phượng thi đấu ngay từ khi mới 17 , 18 tuổi , người ta đã có nhận xét anh chính là phiên bản Messi chuẩn nhất mà bóng đá Việt Nam có được .",0.1143,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
17,B1: BM25-Only (Rule-based),chủ tịch tập đoàn Viettel là ai,Lê Đăng Dũng,Đại tướng Ngô Xuân Lịch trao quyết định bổ nhiệm chức phụ trách Chủ tịch kiêm Tổng giám đốc Tập đoàn Viettel cho Thiếu tướng Lê Đăng Dũng .,0.1935,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
18,B1: BM25-Only (Rule-based),Tổng thống Thụy Sỹ,Alain Berset,Thủ tướng Nhật Bản Shinzo Abe và Tổng thống Thuỵ Sỹ Alain Berset .,0.2667,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
19,B1: BM25-Only (Rule-based),Ai là chủ tịch tập đoàn FLC,Trịnh Văn Quyết,Chủ tịch Tập đoàn FLC Trịnh Văn Quyết bày tỏ trong câu chuyện về việc chia tay bóng đá Thanh Hoá .,0.25,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
20,B1: BM25-Only (Rule-based),Cầu thủ nào được gọi là cậu bé vàng,Anderson,"Cầu thủ này từng được gọi là “ Ronaldinho mới ” bởi khả năng tấn công siêu hạng trong những ngày đầu khoác áo Gremio , giúp anh được chuyển sang Porto .",0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
21,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ tịch tập đoàn Viettel,Lê Đăng Dũng,Thiếu tướng Lê Đăng Dũng,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
22,B2: XLM-RoBERTa Pretrained (SQuAD2),Bộ trưởng bộ quốc phòng Việt Nam là ai,Ngô Xuân Lịch,Đại tướng Ngô Xuân Lịch,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
23,B2: XLM-RoBERTa Pretrained (SQuAD2),Con gái của Hồ Việt Trung,Xí Muội,"Cô bé tầm 2 , 3 tuổi với cái tên Xí Muội",0.3077,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
24,B2: XLM-RoBERTa Pretrained (SQuAD2),Vị vua nào sau đây đã đổi quốc hiệu nước ta thành Đại Nam?,Minh Mạng,vua Minh Mạng,0.8,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
25,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ tịch tập đoàn SCG,Roongrote Rangsiyopash,ông Roongrote Rangsiyopash,0.8,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
26,B2: XLM-RoBERTa Pretrained (SQuAD2),chủ tịch tập đoàn Viettel là ai,Lê Đăng Dũng,Thiếu tướng Lê Đăng Dũng,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
27,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ biên cuốn sách Những dấu vết thời đại đồng thau,"Lê Văn Lan , Phạm Văn Kỉnh , Nguyễn Linh","Lê Văn Lan , Phạm Văn Kỉnh , Nguyễn Linh 1963",0.9412,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
28,B2: XLM-RoBERTa Pretrained (SQuAD2),Mẹ của Nguyễn Tấn Dũng là ai,Nguyễn Thị Hường,bà Nguyễn Thị Hường,0.8571,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
29,B2: XLM-RoBERTa Pretrained (SQuAD2),Trưởng ban Tuyên giáo Trung ương là ai,Võ Văn Thưởng,Ông Võ Văn Thưởng,0.8571,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
30,B2: XLM-RoBERTa Pretrained (SQuAD2),Nhà thơ được mệnh danh là Nữ hoàng tình yêu?,Xuân Quỳnh,Nữ sĩ Xuân Quỳnh,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
31,B2: XLM-RoBERTa Pretrained (SQuAD2),Vận động viên nào giành huy chương vàng Olympic 2012 môn quần vợt đơn nam?,Murray,Andy Murray,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
32,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là vợ của Odin,Frigg,nữ thần Frigg,0.5,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
33,B2: XLM-RoBERTa Pretrained (SQuAD2),Tác phẩm Bình Ngô đại cáo là của ai,Nguyễn Trãi,Quân trung từ mệnh tập,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
34,B2: XLM-RoBERTa Pretrained (SQuAD2),ai là người dẫn chương trình đường lên đỉnh olympia,Diệp Chi,MC Diệp Chi,0.8,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
35,B2: XLM-RoBERTa Pretrained (SQuAD2),Ca khúc Hà Nội mùa vắng những cơn mưa là sáng tác của nhạc sỹ nào,Hải,Anh Hải,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
36,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là người tìm ra tia X,Rơn-ghen,Wilhelm Conrad Röntgen,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
37,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là ông tổ nghề thêu Việt Nam ?,Lê Công Hành,Trần Quốc Khái,0.0,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
38,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ tịch tập đoàn Hoa sen,Vũ,ông Vũ,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
39,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là người sáng lập SoftBank,Son,Ông Son,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
40,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là tổng giám đốc công ty PNJ,Lê Trí Thông,ông Lê Trí Thông,0.8571,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
41,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Bộ trưởng bộ quốc phòng Việt Nam là ai,Ngô Xuân Lịch,Đại tướng Ngô Xuân Lịch,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
42,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vận động viên nào giành huy chương vàng Olympic 2012 môn quần vợt đơn nam?,Murray,Andy Murray,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
43,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Ai là ông tổ nghề thêu Việt Nam ?,Lê Công Hành,Trần Quốc Khái,0.0,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
44,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),"Trong thần thoại Hy Lạp, vị thần khổng lồ có tên là gì?",Titans,Cronus,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
45,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vị vua nào sau đây đã đổi quốc hiệu nước ta thành Đại Nam?,Minh Mạng,Dụ của vua Minh Mạng,0.5714,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
46,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Có bao nhiêu nhân viên của Công ty Đông Ấn sống sót quay trở về?,khoảng 10% nhân viên,khoảng 10%,0.6667,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
47,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vì sao những nông dân Texas bỏ làm nông nghiệp mà làm cho các công việc phục vụ chiến tranh?,mức lương cao hơn,"để tìm kiếm các công việc phục vụ chiến tranh với mức lương cao hơn,",0.4211,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
48,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Canada có mối quan hệ gì với tổ chức NATO?,Canada là một thành viên của Tổ chức Hiệp ước Bắc Đại Tây Dương (NATO),Canada là một thành viên,0.5,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
49,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Các đạo luật lớn nào cũng được Quốc hội Hoa Kỳ lần thứ 111 thông qua và được Obama ký thành luật?,"Đạo luật Bảo hiểm Y tế Đại chúng và Bảo vệ Bệnh nhân, Đạo luật Bảo vệ Giới tiêu dùng và Cãi cách Phố Wall Dodd-Frank và Đạo luật Bãi bỏ Chính sách Đứng hỏi, Đừng kể",Đạo luật Kiểm soát Ngân sách 2011 và Đạo luật Cứu trợ Người đóng thuế Mỹ 2012,0.2222,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
50,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Tổ chức Hindu Mahasabha có suy nghĩ gì về Gandhi?,Gandhi là người chịu trách nhiệm cho việc chính quyền suy nhược,người chịu trách nhiệm cho việc chính quyền suy nhược vì đã khăng khăng bắt buộc nộp một khoản tiền cho Pakistan.,0.5882,Partial match,Model chọn gần đúng nhưng không chính xác hoàn toàn,Fine-tune trên dữ liệu domain tiếng Việt
51,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),"Khi người châu Âu đặt chân vào Canada, thì dân số của người bản địa là bao nhiêu?",200.000 đến hai triệu,"từ 200.000 đến hai triệu,",0.8889,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
52,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),JAXA đã thiết kế và chế tạo tàu nào?,Akatsuki,"tàu quỹ đạo,",0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
53,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Tại sao Ottoman rơi vào loạn lạc?,Việc Bayezid bị bắt làm cho đất nước rơi vào loạn lạc,Việc Bayezid bị bắt,0.5,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
54,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Ai là tộc trưởng của bộ lạc Kayı?,Ertuğrul Gazi,người Thổ Oğuz,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
55,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Khoảng thời gian nào chứng kiến sự nâng cấp đô thị của Bạc Liêu?,2010-2014,4 năm,0.0,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
56,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Tên gọi phổ biến của dương cầm là gì?,piano,piano cổ điển,0.5,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
57,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Số lượng đảo gần bờ của tỉnh Khánh Hòa là bao nhiêu?,khoảng 200 đảo,"khoảng 200 đảo lớn, nhỏ ven bờ.",0.6,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
58,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vị tướng nào đã chặn được đội quân của Lee trong cuộc xâm chiếm miền Bắc?,McClellan,tướng McClellan,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
59,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vì nguyên nhân nào mà Ả Rập Xê Út cố gắng cải cách nền giáo dục?,hệ thống giáo dục Ả Rập Xê Út bị cáo buộc là khuyến khích chủ nghĩa khủng bố Hồi giáo,"khuyến khích chủ nghĩa khủng bố Hồi giáo,",0.5714,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
60,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Kẻ ám sát là ai?,Pausanias,"một sủng thần trước đây của nhà vua - một nhà quý tộc trẻ bất mãn Pausanias,",0.1176,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
