STT,Mô hình,Câu hỏi,Câu trả lời đúng,Dự đoán,F1,Loại lỗi,Nguyên nhân,Hướng cải thiện
11,B2: XLM-RoBERTa Pretrained (SQuAD2),Vận động viên nào giành huy chương vàng Olympic 2012 môn quần vợt đơn nam?,Murray, Andy Murray,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
12,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là vợ của Odin,Frigg, nữ thần Frigg,0.5,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
13,B2: XLM-RoBERTa Pretrained (SQuAD2),Tác phẩm Bình Ngô đại cáo là của ai,Nguyễn Trãi, Quân trung từ mệnh tập,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
14,B2: XLM-RoBERTa Pretrained (SQuAD2),ai là người dẫn chương trình đường lên đỉnh olympia,Diệp Chi,MC Diệp Chi,0.8,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
15,B2: XLM-RoBERTa Pretrained (SQuAD2),Ca khúc Hà Nội mùa vắng những cơn mưa là sáng tác của nhạc sỹ nào,Hải,Anh Hải,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
16,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là người tìm ra tia X,Rơn-ghen, Wilhelm Conrad Röntgen,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
17,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là ông tổ nghề thêu Việt Nam ?,Lê Công Hành, Trần Quốc Khái,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
18,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ tịch tập đoàn Hoa sen,Vũ, ông Vũ,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
19,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là người sáng lập SoftBank,Son,Ông Son,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
20,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là tổng giám đốc công ty PNJ,Lê Trí Thông, ông Lê Trí Thông,0.8571,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
21,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Bộ trưởng bộ quốc phòng Việt Nam là ai,Ngô Xuân Lịch,Đại tướng Ngô Xuân Lịch,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
22,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vận động viên nào giành huy chương vàng Olympic 2012 môn quần vợt đơn nam?,Murray,Andy Murray,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
23,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Ai là ông tổ nghề thêu Việt Nam ?,Lê Công Hành,Trần Quốc Khái,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
24,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),"Trong thần thoại Hy Lạp, vị thần khổng lồ có tên là gì?",Titans,Cronus,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
25,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vị vua nào sau đây đã đổi quốc hiệu nước ta thành Đại Nam?,Minh Mạng,Dụ của vua Minh Mạng,0.5714,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
26,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Có bao nhiêu nhân viên của Công ty Đông Ấn sống sót quay trở về?,khoảng 10% nhân viên,khoảng 10%,0.6667,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
27,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vì sao những nông dân Texas bỏ làm nông nghiệp mà làm cho các công việc phục vụ chiến tranh?,mức lương cao hơn,"để tìm kiếm các công việc phục vụ chiến tranh với mức lương cao hơn,",0.4211,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
28,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Canada có mối quan hệ gì với tổ chức NATO?,Canada là một thành viên của Tổ chức Hiệp ước Bắc Đại Tây Dương (NATO),Canada là một thành viên,0.5,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
29,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Các đạo luật lớn nào cũng được Quốc hội Hoa Kỳ lần thứ 111 thông qua và được Obama ký thành luật?,"Đạo luật Bảo hiểm Y tế Đại chúng và Bảo vệ Bệnh nhân, Đạo luật Bảo vệ Giới tiêu dùng và Cãi cách Phố Wall Dodd-Frank và Đạo luật Bãi bỏ Chính sách Đứng hỏi, Đừng kể",Đạo luật Kiểm soát Ngân sách 2011 và Đạo luật Cứu trợ Người đóng thuế Mỹ 2012,0.2222,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
30,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Tổ chức Hindu Mahasabha có suy nghĩ gì về Gandhi?,Gandhi là người chịu trách nhiệm cho việc chính quyền suy nhược,người chịu trách nhiệm cho việc chính quyền suy nhược vì đã khăng khăng bắt buộc nộp một khoản tiền cho Pakistan.,0.5882,Partial match,Model chọn gần đúng nhưng không chính xác hoàn toàn,Fine-tune trên dữ liệu domain tiếng Việt
31,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),"Khi người châu Âu đặt chân vào Canada, thì dân số của người bản địa là bao nhiêu?",200.000 đến hai triệu,"từ 200.000 đến hai triệu,",0.8889,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
32,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),JAXA đã thiết kế và chế tạo tàu nào?,Akatsuki,"tàu quỹ đạo,",0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
33,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Tại sao Ottoman rơi vào loạn lạc?,Việc Bayezid bị bắt làm cho đất nước rơi vào loạn lạc,Việc Bayezid bị bắt,0.5,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
34,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Ai là tộc trưởng của bộ lạc Kayı?,Ertuğrul Gazi,người Thổ Oğuz,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
35,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Khoảng thời gian nào chứng kiến sự nâng cấp đô thị của Bạc Liêu?,2010-2014,4 năm,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
36,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Tên gọi phổ biến của dương cầm là gì?,piano,piano cổ điển,0.5,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
37,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Số lượng đảo gần bờ của tỉnh Khánh Hòa là bao nhiêu?,khoảng 200 đảo,"khoảng 200 đảo lớn, nhỏ ven bờ.",0.6,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
38,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vị tướng nào đã chặn được đội quân của Lee trong cuộc xâm chiếm miền Bắc?,McClellan,tướng McClellan,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
39,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Vì nguyên nhân nào mà Ả Rập Xê Út cố gắng cải cách nền giáo dục?,hệ thống giáo dục Ả Rập Xê Út bị cáo buộc là khuyến khích chủ nghĩa khủng bố Hồi giáo,"khuyến khích chủ nghĩa khủng bố Hồi giáo,",0.5714,Lỗi biên (span thiếu),Model trích xuất thiếu một phần câu trả lời,Tăng max_answer_len hoặc fine-tune thêm
40,M1: XLM-RoBERTa Fine-tuned (ViSpanExtractQA),Kẻ ám sát là ai?,Pausanias,"một sủng thần trước đây của nhà vua - một nhà quý tộc trẻ bất mãn Pausanias,",0.1176,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
